CMDLINE /usr/bin/python3 thread_data.py
MEM 180.156250 1667751443.0296
MEM 180.414062 1667751443.1301
MEM 180.414062 1667751443.2307
MEM 180.671875 1667751443.3312
MEM 180.671875 1667751443.4317
MEM 180.929688 1667751443.5323
MEM 181.085938 1667751443.6328
MEM 181.085938 1667751443.7333
MEM 181.339844 1667751443.8338
MEM 181.597656 1667751443.9343
MEM 181.597656 1667751444.0349
MEM 181.855469 1667751444.1354
MEM 181.855469 1667751444.2359
MEM 182.113281 1667751444.3364
MEM 182.371094 1667751444.4370
MEM 182.371094 1667751444.5375
MEM 182.628906 1667751444.6380
MEM 182.628906 1667751444.7385
MEM 182.886719 1667751444.8390
MEM 183.144531 1667751444.9395
MEM 183.144531 1667751445.0400
MEM 183.402344 1667751445.1406
MEM 183.402344 1667751445.2412
MEM 183.660156 1667751445.3417
MEM 183.660156 1667751445.4422
MEM 183.917969 1667751445.5427
MEM 184.175781 1667751445.6432
MEM 184.175781 1667751445.7437
MEM 184.433594 1667751445.8442
MEM 184.433594 1667751445.9447
MEM 184.691406 1667751446.0452
MEM 184.925781 1667751446.1457
MEM 184.925781 1667751446.2462
MEM 185.179688 1667751446.3467
MEM 185.179688 1667751446.4472
MEM 185.437500 1667751446.5478
MEM 185.695312 1667751446.6483
MEM 185.695312 1667751446.7488
MEM 185.953125 1667751446.8493
MEM 185.953125 1667751446.9498
MEM 186.210938 1667751447.0503
MEM 186.468750 1667751447.1510
MEM 186.468750 1667751447.2516
MEM 186.726562 1667751447.3521
MEM 186.726562 1667751447.4527
MEM 186.984375 1667751447.5534
MEM 187.242188 1667751447.6539
MEM 187.242188 1667751447.7544
MEM 187.500000 1667751447.8550
MEM 187.500000 1667751447.9555
MEM 187.757812 1667751448.0560
MEM 187.757812 1667751448.1565
MEM 188.015625 1667751448.2570
MEM 188.273438 1667751448.3575
MEM 188.273438 1667751448.4580
MEM 188.273438 1667751448.5590
MEM 95.765625 1667751448.6598
MEM 0.000000 1667751448.7605
